"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Navigation and Layout","6","0","","0"
"1","","0","Group Test","1","0","","0"
"3","","0","Settings and Global Configuration","0","0","","0"
"3","","0","Test Execution Engine","0","0","","0"
"2","","0","Edge Cases and Timers","0","0","","0"
"1","","0","Test Loading & Offline Flows","1","0","","0"
"3","","0","AI Test Generation Logic","0","0","","0"
"1","","0","AI Evaluation Logic","0","0","","0"
"0","","0","Result View","1","0","","0"
"0","","0","Homepage Validation","1","0","","0"
